mask,gmedian,rmedian,bmedian,gmean,rmean,bmean,gstd,rstd,bstd,isconvex,area,aspect_ratio_wh_s,extent_s,solidity,aspect_ratio_wh,extent,ed,ratio_ell,perimeter,is_cen_inside,is_mce_inside,Nr,label
38,89.0,86.0,82.0,83.96415327564895,82.88998763906056,77.67737948084054,20.44166110140428,18.218397936207857,20.212676267244387,0,734.5,2.869565217391304,0.48386034255599475,0.9279848389134555,4.971014868622538,0.8069041130234169,30.580949063231785,8.811351174202517,158.18376553058624,1.0,1.0,999000524207101,curb
6,160.0,157.0,161.0,150.33241390839183,145.64585422935474,151.44876295553325,25.694289352692365,26.320305516430647,25.19977284876194,0,11591.5,1.1129032258064515,0.10838242169237962,0.8662979709278428,0.1079318376659995,0.5025841850664727,121.48562130061993,18.171965293786133,976.202226638794,1.0,1.0,999000510761211,curb
23,160.0,158.0,161.0,150.35938561913824,146.8381133614245,151.36237596846541,24.111482119332543,24.834688437022123,23.477195925253056,0,7166.0,1.167832167832168,0.3000711862987312,0.9356312834573705,0.2347704431598214,0.7022495114196243,95.51981248710749,19.027941429612646,477.75439715385437,1.0,1.0,999000510761211,curb
27,161.0,155.0,161.0,151.56761646313885,144.94391677973766,152.85866123925825,27.51298070628721,28.02686607394842,27.18083013351215,0,4212.0,1.0,0.1166759002770083,0.9078564500484966,0.11538461880481647,0.5510205097107472,73.23172101230796,18.207770970392186,558.0041800737381,1.0,1.0,999000510761211,curb
55,101.0,89.0,107.0,112.90702087286527,98.4876660341556,119.2618595825427,31.27342974495837,28.41311099362906,31.691104689897625,0,466.5,2.2,0.3392727272727273,0.9120234604105572,0.17035216864427005,0.8247438343895143,24.371422765586612,9.48950755044444,134.32590091228485,1.0,1.0,999000465410312,curb
66,179.0,167.0,185.0,179.1726457399103,166.6659192825112,184.89461883408072,24.642361457495387,24.760793813074216,24.972183946204094,0,332.5,4.0,0.10602678571428571,0.7150537634408602,24.845263555634812,0.6356323959923583,20.575523046193542,33.55871990570124,246.1248904466629,1.0,1.0,999000509348992,curb
25,161.0,140.0,173.0,156.0493827160494,135.78703703703704,168.39969135802468,18.772863416472415,18.196484665555968,19.064602644136443,0,531.0,2.7804878048780486,0.11360718870346598,0.8088347296268088,18.950000278959923,0.7005276771827438,26.001734523957655,27.07113301889453,262.6518018245697,1.0,1.0,999000464845312,curb
37,186.0,176.0,202.0,170.39189655172413,160.7505172413793,186.17396551724138,40.1047383457666,41.095276174645576,40.32347538386657,0,5403.5,15.8,0.5471898734177215,0.8259706511770101,21.135671896524762,0.7351312260628313,82.9454632874906,23.377138316964636,817.923879981041,1.0,1.0,999000481605162,curb
57,180.0,168.0,187.0,172.21206096752817,160.5895225464191,180.6520874751491,31.031676888365283,30.973516051443273,30.78817027221177,0,1394.0,5.15,0.6766990291262136,0.8996450467892869,0.18627450980392157,0.7192982456140351,42.129513709047444,43.36246002722526,233.79898953437805,1.0,1.0,999000481605162,curb
14,94.0,85.0,96.0,97.50220716558874,89.46689251616877,99.02340622112719,26.96968759787519,26.428105815743923,27.017320339645746,0,9338.0,2.827067669172932,0.18673012318029114,0.9334732843504774,9.73643512339323,0.5763344484170955,109.0390336931548,24.071081122865237,884.7838325500488,1.0,1.0,999000510761212,curb
35,190.0,179.0,193.0,173.9891672308734,164.72037914691944,177.17806364251862,40.75044040431168,38.645915459610464,41.00800134338118,0,1324.5,1.9102564102564104,0.11396489416623645,0.6745607333842628,10.942701357158372,0.5266119618425594,41.06587119496825,13.917351907685504,363.8893893957138,1.0,1.0,999000509348993,curb
47,86.0,87.5,82.0,91.95132013201321,93.72524752475248,88.07755775577557,38.40736281052413,38.49123927826117,38.06058126435614,0,984.5,28.125,0.5469444444444445,0.7199268738574041,32.0,0.6278700690401888,35.404863109349364,25.60954078802238,460.04163014888763,1.0,1.0,999000509348993,curb
17,146.0,129.0,153.0,142.98289943848903,125.16717713118938,150.39356814701378,25.241305339018318,24.87319294243043,25.69746392842207,0,3433.5,5.263736263736264,0.07876987313312991,0.7346742270247139,40.97534867732665,0.5948565862163439,66.11859025151837,117.54616204471311,1037.0020879507065,1.0,1.0,999000464845313,curb
20,93.0,87.0,95.0,108.5547493403694,101.37115215479332,110.0230870712401,37.165143374097255,36.82629210894195,37.42451968524644,0,4021.0,4.56140350877193,0.0678306342780027,0.8012354289130218,0.02727481620817449,0.5231820136613626,71.55205244701293,157.34453317513257,1141.47012424469,1.0,1.0,999000510761213,curb
27,171.0,168.0,172.0,170.85478547854785,167.8019801980198,171.98679867986797,19.42877408839124,19.65075589640098,19.290376813487466,0,257.0,0.8571428571428571,0.16997354497354497,0.8552412645590682,6.140703782933497,0.5432153790957724,18.089294154193436,20.128714496413863,115.68123960494995,1.0,1.0,999000510761213,curb
23,177.0,167.0,177.0,172.6380129589633,163.20475161987042,173.72656587473003,15.98236953672613,16.680389641384743,15.047483033989023,0,2205.0,1.323943661971831,0.33038657476775546,0.9578627280625543,4.54984641084198,0.79146654081551,52.985782962423364,8.378942405335811,262.73506140708923,1.0,1.0,999000566471554,curb
6,165.0,162.0,166.0,155.6040557667934,152.01964512040558,157.62205323193916,22.234010276040284,23.45019249141038,21.775635978622194,0,7566.5,0.8093645484949833,0.10457033085491584,0.9125610565036483,10.098094855632729,0.5203052474340407,98.1527738540211,20.753321783268625,824.3544588088989,1.0,1.0,999000510761214,curb
26,125.0,120.0,126.0,127.80232558139535,122.89664082687338,129.4638242894057,35.48473405819492,35.301831270368076,35.540610521311024,0,620.0,2.849056603773585,0.07747094839435212,0.7863031071655041,0.0398406389221653,0.6175299814329935,28.096414677602564,62.48088788001432,346.59292674064636,1.0,1.0,999000510761214,curb
