mask,gmedian,rmedian,bmedian,gmean,rmean,bmean,gstd,rstd,bstd,isconvex,area,aspect_ratio_wh_s,extent_s,solidity,aspect_ratio_wh,extent,ed,ratio_ell,perimeter,is_cen_inside,is_mce_inside,Nr,label
1,244.0,248.0,237.0,240.73065612074984,245.50694929365633,232.7808320352366,12.440094480296636,8.665817665837396,17.859522213682364,0,147609.0,2.1476510067114094,0.7739565855704698,0.8084576160717709,0.4647887323943662,0.7777777777777778,433.5223361705976,2.7122970949414604,2958.8813710212708,1.0,1.0,999000608525971,s
2,121.0,118.0,119.0,125.20788235294118,121.69924701453027,123.85117647058823,28.212499674231495,28.452921352230106,27.957547098992563,0,33554.5,1.8869047619047619,0.6300604626708728,0.921864912015605,2.3148911111362955,0.7392773081166054,206.6952256434967,2.4413587188944903,1026.9331078529358,1.0,1.0,999000608525971,pa
3,244.0,248.0,237.0,240.7178790891319,245.47213418824518,232.7905643886068,12.5798334161379,8.892381524574025,17.93650871563211,0,148764.0,2.140468227424749,0.7774038461538462,0.8023169271591755,0.46635367762128327,0.7812332608627155,435.21512799187224,2.8351509532309356,2765.9108103513718,1.0,1.0,999000608525971,s
4,102.0,56.0,84.0,115.25560165975104,74.73745819397993,98.84564315352696,46.973403569416455,55.82540839350631,49.051072457527944,0,1142.5,0.673469387755102,0.7065553494124923,0.9532749269920734,1.5,0.7438151041666666,38.140217354649714,1.5408170561369112,139.982754945755,1.0,1.0,999000608525971,p
5,115.0,117.0,111.0,113.09028739612188,114.52447794587684,109.46115890688259,17.58875070465179,17.982858241028683,16.83804619607165,0,15955.5,1.2637362637362637,0.38116340181557573,0.6290608736792304,1.2651933701657458,0.3849429419286352,142.531307283775,2.3044777335279307,990.3401807546616,1.0,-1.0,999000608525971,r
6,85.0,81.0,90.0,92.66716844799036,88.45220532891766,95.37287370164083,38.02122558094201,36.34532880116646,38.527990477762515,0,6452.5,1.6593406593406594,0.4695800887853868,0.7480292140041734,0.45873127088552673,0.6117144809498565,90.6398265797306,2.3785760110690317,431.60511922836304,1.0,1.0,999000608525971,b
7,66.0,44.0,48.0,82.73608449384609,67.03474169908623,67.37584247389982,59.601482172229105,64.22230420278136,59.00799145794729,0,23132.5,0.5367647058823529,0.5825065471394038,0.8419778699861687,0.5434148884935641,0.6085103178928496,171.61938634252877,1.9944512456748766,813.8792835474014,1.0,1.0,999000608525971,p
9,36.0,25.0,27.0,42.630340017436794,28.654296443560856,33.778372352285395,29.03381313726796,20.333219121745596,26.51661392968824,0,4445.0,3.0681818181818183,0.7483164983164983,0.93137768465165,0.3208955223880597,0.7714335300242972,75.22997923931521,3.4764631655805145,330.30865597724915,1.0,1.0,999000608525971,p
10,95.0,96.0,95.5,91.5395537525355,92.86868686868686,92.40688259109312,40.813544233554516,41.02604407221198,41.37483482357993,0,456.0,0.71875,0.6195652173913043,0.9129129129129129,0.7547892908843903,0.6961899591431256,24.095585330081406,1.4919801009388107,90.0832599401474,1.0,1.0,999000608525971,bi
11,87.0,88.0,83.0,84.75537435137139,85.73610081541882,81.3910447761194,42.81727405384987,42.5915318524428,42.17815000346047,0,1279.0,1.4047619047619047,0.5161420500403551,0.8627318718381113,1.9571429850917048,0.6668405378374189,40.35434769286047,2.1064062953377194,172.85281252861023,1.0,1.0,999000608525971,bi
