mask,gmedian,rmedian,bmedian,gmean,rmean,bmean,gstd,rstd,bstd,gq25,gq75,rq25,rq75,bq25,bq75,cdmean,cdstd,isconvex,area,aspect_ratio_wh_s,extent_s,solidity,aspect_ratio_wh,extent,orien_rre,orien_ell,ed,ratio_ell,perimeter,is_cen_inside,is_mce_inside,leftm,rightm,topm,bottomm,label,Nr,label_group
1,244.0,248.0,237.0,240.73067626363002,245.5035720040823,232.77742788848903,12.440115156260738,8.712362595167413,17.879719822259908,231.0,253.0,239.0,253.0,218.0,249.0,9.458949830028503,7.696230949107318,0,147609.0,2.1476510067114094,0.7739565855704698,0.8084576160717709,0.4647887323943662,0.7777777777777778,90.0,94.0518798828125,433.5223361705976,2.7122970949414604,2958.8813710212708,1.0,1.0,0,639,0,297,s,999000608525971,sky
2,121.0,118.0,119.0,125.20788235294118,121.69208823529412,123.85117647058823,28.212499674231495,28.46738973949754,27.957547098992563,105.0,148.0,102.0,144.0,103.0,147.0,4.093950501869654,2.304314085772218,0,33554.5,1.8869047619047619,0.6300604626708728,0.921864912015605,2.3148911111362955,0.7392773081166054,21.223657608032227,104.33221435546875,206.6952256434967,2.4413587188944903,1026.9331078529358,1.0,1.0,288,604,367,534,pa,999000608525971,infrastructure
3,244.0,248.0,237.0,240.71799918601005,245.46384083160416,232.7822109835267,12.57990770952673,9.004576894149272,17.986487908862227,231.0,253.0,239.0,253.0,218.0,249.0,9.435035504478694,7.736708955016743,0,148764.0,2.140468227424749,0.7774038461538462,0.8023169271591755,0.46635367762128327,0.7812332608627155,90.0,96.34144592285156,435.21512799187224,2.8351509532309356,2765.9108103513718,1.0,1.0,0,639,0,298,s,999000608525971,sky
4,110.0,43.0,72.0,139.02489626556016,50.56182572614108,71.75269709543568,68.81142222268583,47.31426358483706,50.97732230110989,88.0,189.0,16.0,69.0,47.0,97.0,68.78028540678031,72.1216114248767,0,1142.5,0.673469387755102,0.7065553494124923,0.9532749269920734,1.5,0.7438151041666666,90.0,2.729902982711792,38.140217354649714,1.5408170561369112,139.982754945755,1.0,1.0,246,278,270,318,p,999000608525971,vegetation
5,115.0,117.0,111.0,113.09028739612188,114.52447794587684,109.46115890688259,17.58875070465179,17.982858241028683,16.83804619607165,105.0,122.0,106.0,123.0,102.0,117.0,4.206589113967307,2.98776212624432,0,15955.5,1.2637362637362637,0.38116340181557573,0.6290608736792304,1.2651933701657458,0.3849429419286352,0.0,125.76072692871094,142.531307283775,2.3044777335279307,990.3401807546616,1.0,-1.0,410,639,326,507,r,999000608525971,infrastructure
6,85.0,81.0,90.0,92.66716844799036,88.45220532891766,95.37287370164083,38.02122558094201,36.34532880116646,38.527990477762515,66.0,117.0,63.0,113.0,68.0,116.0,10.781273414579818,7.841899609348563,0,6452.5,1.6593406593406594,0.4695800887853868,0.7480292140041734,0.45873127088552673,0.6117144809498565,74.93151092529297,72.22624206542969,90.6398265797306,2.3785760110690317,431.60511922836304,1.0,1.0,70,220,225,315,b,999000608525971,building
7,66.0,41.0,46.0,82.73608449384609,63.10932243090158,65.1377283761339,59.601482172229105,64.2706173235705,59.26267233501222,42.0,100.0,20.0,79.0,25.0,80.0,16.85163454401833,6.373478138391155,0,23132.5,0.5367647058823529,0.5825065471394038,0.8419778699861687,0.5434148884935641,0.6085103178928496,9.334999084472656,178.85433959960938,171.61938634252877,1.9944512456748766,813.8792835474014,1.0,1.0,356,501,62,333,p,999000608525971,vegetation
9,36.0,25.0,27.0,42.678283598344585,28.240252668263995,32.97407972119364,29.366178330293263,20.471857000730402,26.696458907627992,21.0,58.0,16.0,35.0,14.0,44.0,12.11544530318654,9.713576742892164,0,4445.0,3.0681818181818183,0.7483164983164983,0.93137768465165,0.3208955223880597,0.7714335300242972,90.0,93.13414001464844,75.22997923931521,3.4764631655805145,330.30865597724915,1.0,1.0,110,244,281,324,p,999000608525971,vegetation
10,94.0,96.0,95.0,91.16969696969697,92.86868686868686,92.22020202020202,41.14285891016948,41.02604407221198,41.540755161084,59.0,124.0,62.0,126.0,60.0,124.5,4.169680439451664,2.616889081943979,0,456.0,0.71875,0.6195652173913043,0.9129129129129129,0.7547892908843903,0.6961899591431256,16.389541625976562,176.93495178222656,24.095585330081406,1.4919801009388107,90.0832599401474,1.0,1.0,476,498,339,370,bi,999000608525971,means_of_transportation
11,87.0,88.0,82.0,84.4423929098966,85.41949778434268,80.54948301329394,43.04622919996618,42.82970749790788,42.7596697075567,47.0,120.0,48.25,121.0,44.0,116.0,5.362523919571398,2.733638753722815,0,1279.0,1.4047619047619047,0.5161420500403551,0.8627318718381113,1.9571429850917048,0.6668405378374189,26.56505012512207,112.32972717285156,40.35434769286047,2.1064062953377194,172.85281252861023,1.0,1.0,573,631,346,387,bi,999000608525971,means_of_transportation
