mask,gmedian,rmedian,bmedian,gmean,rmean,bmean,gstd,rstd,bstd,isconvex,area,aspect_ratio_wh_s,extent_s,solidity,aspect_ratio_wh,extent,ed,ratio_ell,perimeter,is_cen_inside,is_mce_inside,Nr,label
1,214.0,223.0,204.0,213.35186118379912,220.91754448809098,204.32486779553997,21.269401232984176,19.436771317947027,23.001337510713512,0,165074.5,2.071197411003236,0.8347213794498382,0.9012043391148162,0.48200312989045385,0.8387420482490905,458.4532486823325,2.6295833862723903,2621.3250222206116,1.0,1.0,999000465410311,s
2,84.0,106.0,65.0,98.93010180823583,105.58585086042065,84.69872340425532,55.29808964655327,52.62320361669428,61.205516008442125,0,12928.0,2.6153846153846154,0.8124685771744595,0.9275029594289199,2.636363762469356,0.8270746916637524,128.29824953730343,3.0687452831825506,582.5340514183044,1.0,1.0,999000465410311,tram
4,119.0,112.0,121.0,122.12386172160615,115.21577561088368,124.52416465421277,22.238839007409773,22.620178602689773,21.82789592429189,0,163504.0,2.0779220779220777,0.8294642857142858,0.9278217717841264,0.48043818466353677,0.8334684181819109,456.26720079617604,3.1704385357326283,2106.23967564106,1.0,1.0,999000465410311,r
5,182.0,90.0,214.0,175.55861723446893,91.70490981963928,205.26553106212424,20.917077212890995,17.65638955523286,24.55652010419621,0,1859.0,1.7887323943661972,0.20616613064212044,0.9281078382426361,7.711235028628865,0.6946764928354067,48.651334140624215,86.02684278040022,321.705624461174,1.0,1.0,999000465410311,rgs
6,88.0,62.0,76.0,100.15766423357664,82.0421656435544,91.08057525610717,59.093873593185265,62.891898491806785,59.05338778836443,0,7788.0,0.7580645161290323,0.6681537405628003,0.8846983982733159,1.3225806451612903,0.6808287437713086,99.57906192768361,1.3046275924238866,408.04877042770386,1.0,1.0,999000465410311,p
7,138.0,138.0,139.5,125.9894366197183,126.42402826855124,127.41549295774648,65.8334691708016,65.13565937555981,65.60420621152517,0,262.0,1.6,0.7277777777777777,0.940754039497307,0.5922746941171833,0.8168656978856278,18.26441241104166,1.654901215003972,66.62741661071777,1.0,1.0,999000465410311,v
8,67.0,89.0,51.0,82.84765279007972,92.18372820742066,70.22257916475448,56.52407872659291,59.005388658954324,57.10650038310079,0,730.5,0.7105263157894737,0.7119883040935673,0.9389460154241646,0.6722129462008511,0.7732099838868793,30.497565270510307,1.6431889874844687,113.35533845424652,1.0,1.0,999000465410311,tram
9,64.0,62.0,52.0,71.9650067294751,70.17503392130257,60.29440221147201,41.41130869037447,41.307077539443476,39.80561427601324,0,1412.0,1.2702702702702702,0.81196089706728,0.9489247311827957,0.782608695652174,0.8526570048309179,42.40063958439837,1.3275214211667723,155.11269783973694,1.0,1.0,999000465410311,b
10,121.0,105.0,129.0,116.97751376708138,101.91882917858602,124.67268277760783,22.311799393751095,20.636883914622317,23.00905854066431,0,19097.5,5.35,0.5577540887850467,0.6932193546045229,0.18501170960187355,0.5661370171642012,155.9348973308405,5.280762698794943,1106.315796136856,1.0,1.0,999000465410311,pa
11,208.0,201.0,208.0,201.00668002672012,194.0233800935204,201.18436873747495,18.338207887819785,19.695649901638525,18.37625595848462,0,1421.0,0.8620689655172413,0.49,0.9546523345649983,1.5697941718030226,0.5356325459262262,42.53555445822549,1.3900266103840337,175.68123996257782,1.0,1.0,999000465410311,rgs
