Koord E,Koord N,lon,lat,url1,url2,url3,url4,Nr
2678534,1249396,8.478804773815375,47.39070948493243,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39070948493243%2C+8.478804773815375&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39070948493243%2C+8.478804773815375&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39070948493243%2C+8.478804773815375&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39070948493243%2C+8.478804773815375&heading=270&size=640x640&fov=120&pitch=0,99900060852597
2678534,1251496,8.47917355939373,47.409595613406296,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.409595613406296%2C+8.47917355939373&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.409595613406296%2C+8.47917355939373&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.409595613406296%2C+8.47917355939373&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.409595613406296%2C+8.47917355939373&heading=270&size=640x640&fov=120&pitch=0,99900063018611
2678561,1249232,8.479133546650583,47.38923134427607,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38923134427607%2C+8.479133546650583&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38923134427607%2C+8.479133546650583&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38923134427607%2C+8.479133546650583&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38923134427607%2C+8.479133546650583&heading=270&size=640x640&fov=120&pitch=0,99900052723510
2678640,1250202,8.480350278577017,47.39794552736801,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39794552736801%2C+8.480350278577017&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39794552736801%2C+8.480350278577017&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39794552736801%2C+8.480350278577017&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.39794552736801%2C+8.480350278577017&heading=270&size=640x640&fov=120&pitch=0,99900061514043
2678733,1251201,8.481757979237996,47.406918808126946,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.406918808126946%2C+8.481757979237996&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.406918808126946%2C+8.481757979237996&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.406918808126946%2C+8.481757979237996&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.406918808126946%2C+8.481757979237996&heading=270&size=640x640&fov=120&pitch=0,99900063037843
2678820,1249234,8.482563845167766,47.38921839411546,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38921839411546%2C+8.482563845167766&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38921839411546%2C+8.482563845167766&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38921839411546%2C+8.482563845167766&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38921839411546%2C+8.482563845167766&heading=270&size=640x640&fov=120&pitch=0,99900056419422
2678833,1249088,8.482710278741603,47.38790379910519,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38790379910519%2C+8.482710278741603&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38790379910519%2C+8.482710278741603&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38790379910519%2C+8.482710278741603&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.38790379910519%2C+8.482710278741603&heading=270&size=640x640&fov=120&pitch=0,99900054288209
2678978,1249165,8.484644062860312,47.388578925505605,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.388578925505605%2C+8.484644062860312&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.388578925505605%2C+8.484644062860312&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.388578925505605%2C+8.484644062860312&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.388578925505605%2C+8.484644062860312&heading=270&size=640x640&fov=120&pitch=0,99900046662300
2679059,1249645,8.485801562709428,47.392886047038935,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.392886047038935%2C+8.485801562709428&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.392886047038935%2C+8.485801562709428&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.392886047038935%2C+8.485801562709428&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.392886047038935%2C+8.485801562709428&heading=270&size=640x640&fov=120&pitch=0,99900063992212
2679220,1246860,8.487440848068328,47.367819984718516,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.367819984718516%2C+8.487440848068328&heading=0&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.367819984718516%2C+8.487440848068328&heading=90&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.367819984718516%2C+8.487440848068328&heading=180&size=640x640&fov=120&pitch=0,https://maps.googleapis.com/maps/api/streetview?key=AIzaSyCGQcjGFApY_LcDBOU8SE8z_I0Fo7CuY1s&location=47.367819984718516%2C+8.487440848068328&heading=270&size=640x640&fov=120&pitch=0,99900060164616
