rand_point,fid,id1,velo,velostreif,veloweg,einbahn,fuss,name,map_velo,map_fuss,se_anno_ca,objectid,LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SREG_TEXT,SHAPE_LEN,id1_2,kategorie,objectid_2,x,y
59,556,19984.000000000000000,1,"0",0,"0",0,Hochstrasse,1,0,,17838.000000000000000,,,,,,,,,,,,,,,2684200.9494795441,1248217.7683016916
90,1477,5599.000000000000000,1,"0",0,"0",1,Fussweg,0,0,,6165.000000000000000,,,,,,,,,,,,,,,2684169.6901494949,1245414.0904065524
117,1505,29047.000000000000000,1,"0",0,"0",0,Bellerivestrasse,0,0,,26870.000000000000000,,,,,,,,,,,,,,,2684124.7787954286,1245558.8986818339
133,1536,19610.000000000000000,1,"0",1,"0",0,Bellerivestrasse,1,0,,18346.000000000000000,,,,,,,,,,,,,,,2684705.0691976328,1245080.3817733021
162,1613,24387.000000000000000,1,"0",0,"0",1,Batteriestrasse,0,0,,20980.000000000000000,,,,,,,,,,,,,,,2684118.8094427679,1249244.3833863321
163,1614,23476.000000000000000,1,"0",0,"0",0,Germaniastrasse,1,0,,21301.000000000000000,,,,,,,,,,,,,,,2684145.7148624500,1249114.0314357425
168,1623,31368.000000000000000,1,"0",0,"0",0,Rigistrasse,1,0,,29761.000000000000000,,,,,,,,,,,,,,,2683926.6418486871,1248863.8337462794
175,1633,34527.000000000000000,1,"0",0,"0",0,Büchnerstrasse,1,0,,35765.000000000000000,,,,,,,,,,,,,,,2683942.7180845244,1248767.6200091830
191,1684,18998.000000000000000,1,"0",0,"0",0,Schmelzbergstrasse,0,0,,17917.000000000000000,,,,,,,,,,,,,,,2684151.0639674156,1248228.3689436195
193,1686,18310.000000000000000,1,"0",0,"0",0,Toblerstrasse,3,0,,19264.000000000000000,,,,,,,,,,,,,,,2684137.2702045939,1248545.0843336578
215,1713,974.000000000000000,1,"0",0,TF,0,Kreuzbühlstrasse,3,0,,1005.000000000000000,,,,,,,,,,,,,,,2683889.8609543983,1246724.0046298192
275,1794,7274.000000000000000,1,"0",0,"0",1,Lenggfussweg,0,2,,4613.000000000000000,,,,,,,,,,,,,,,2685819.9815272167,1245272.3980310317
278,1797,10350.000000000000000,1,"0",0,"0",0,Lenggfussweg,0,0,,8492.000000000000000,,,,,,,,,,,,,,,2685951.1079093860,1245264.7352363749
288,1807,8654.000000000000000,1,"0",0,"0",0,Drusbergstrasse,1,0,,12126.000000000000000,,,,,,,,,,,,,,,2686406.0367018520,1245632.1130037599
300,1819,18024.000000000000000,1,"0",0,"0",1,Balgriststrasse,0,0,,20242.000000000000000,,,,,,,,,,,,,,,2686127.4931525425,1245413.8040954384
301,1820,23317.000000000000000,1,"0",0,"0",0,Balgriststrasse,0,0,,20771.000000000000000,,,,,,,,,,,,,,,2685923.6219202094,1245448.2828600316
327,1847,36773.000000000000000,1,"0",0,"0",0,Witellikerstrasse,3,0,,34527.000000000000000,,,,,,,,,,,,,,,2685951.5303944773,1245305.3335503505
358,1913,21604.000000000000000,1,"0",0,FT,0,Kantstrasse,0,0,,24213.000000000000000,,,,,,,,,,,,,,,2684473.1929899030,1247963.8160427380
411,2234,14865.000000000000000,1,"0",0,FT,0,Steinwiesstrasse,0,0,,13893.000000000000000,,,,,,,,,,,,,,,2684320.7876315168,1247286.4267518013
471,2294,37492.000000000000000,1,FT,0,"0",0,Klosbachstrasse,3,0,,33308.000000000000000,,,,,,,,,,,,,,,2684782.0532275941,1246970.3033462905
473,2296,35032.000000000000000,1,"0",0,"0",0,Asylstrasse,3,0,,35554.000000000000000,,,,,,,,,,,,,,,2684850.5190426772,1246778.2336939697
509,2336,28071.000000000000000,1,"0",0,"0",0,Merkurstrasse,1,0,,25077.000000000000000,,,,,,,,,,,,,,,2684334.8231533035,1246900.6115418661
532,2361,6817.000000000000000,1,"0",0,"0",0,Feldeggstrasse,3,0,,4707.000000000000000,,,,,,,,,,,,,,,2684295.8352155136,1246277.7300292111
564,2495,28585.000000000000000,1,"0",0,"0",0,Schanzengasse,1,0,,24981.000000000000000,,,,,,,,,,,,,,,2683886.1368505773,1246806.0232126680
579,2549,36283.000000000000000,1,"0",0,"0",1,Krattenturmstrasse,1,2,,34363.000000000000000,,,,,,,,,,,,,,,2684083.0253122011,1249479.4514842678
581,2610,1638.000000000000000,1,"0",0,"0",0,Sophienstrasse,0,0,,1667.000000000000000,,,,,,,,,,,,,,,2684583.5974699440,1247077.2373859535
617,2813,11293.000000000000000,1,"0",0,"0",1,Burgweg,0,1,,10153.000000000000000,,,,,,,,,,,,,,,2684845.8342521084,1246012.3966601577
635,2833,27111.000000000000000,1,"0",0,"0",1,Weineggstrasse,1,0,,25296.000000000000000,,,,,,,,,,,,,,,2684963.2344285082,1245976.6577370311
653,2853,34654.000000000000000,1,"0",0,"0",1,Mantelgasse,0,0,,36309.000000000000000,,,,,,,,,,,,,,,2684599.6307021445,1245685.6287296689
683,2884,24250.000000000000000,1,"0",0,"0",1,Weineggstrasse,1,0,,22534.000000000000000,,,,,,,,,,,,,,,2685165.9687444633,1245880.2593074129
694,2895,31974.000000000000000,1,"0",0,"0",1,Hirslandersteig,0,0,,29948.000000000000000,,,,,,,,,,,,,,,2685633.4580930914,1246065.8965964448
695,2896,31433.000000000000000,1,"0",0,"0",0,Buchenweg,1,0,,30030.000000000000000,,,,,,,,,,,,,,,2685487.5896925232,1245780.4317652176
755,3088,22505.000000000000000,1,"0",0,"0",1,Im Hau,1,0,,23698.000000000000000,,,,,,,,,,,,,,,2687697.7546514035,1246548.2740512160
790,3488,27208.000000000000000,1,"0",0,"0",0,Kienastenwiesweg,1,0,,25711.000000000000000,,,,,,,,,,,,,,,2687927.5988190179,1245629.1718176065
796,3495,36976.000000000000000,1,"0",0,"0",0,Steinbrüchelstrasse,0,0,,33280.000000000000000,,,,,,,,,,,,,,,2687035.6840229044,1245672.9660749352
813,3513,7494.000000000000000,1,"0",0,"0",0,Loorenstrasse,1,0,,5537.000000000000000,,,,,,,,,,,,,,,2687310.9343087622,1246109.7865026610
819,3519,10466.000000000000000,1,"0",0,"0",0,Oetlisbergstrasse,1,0,,8922.000000000000000,,,,,,,,,,,,,,,2687470.4734168113,1246007.9527206719
832,3533,19816.000000000000000,1,"0",0,"0",0,St?ckenhaldenweg,0,0,,17172.000000000000000,,,,,,,,,,,,,,,2687297.5732350713,1246175.1263553377
840,3542,22041.000000000000000,1,"0",0,"0",0,Buchzelgstrasse,0,0,,24002.000000000000000,,,,,,,,,,,,,,,2687196.7011090331,1246060.7881594154
849,3552,29065.000000000000000,1,"0",0,FT,1,Parkplatz,0,0,,26888.000000000000000,,,,,,,,,,,,,,,2687531.1296127294,1246431.5833269667
871,3574,40154.000000000000000,1,"0",0,"0",0,Witikonerstrasse,3,0,,38355.000000000000000,,,,,,,,,,,,,,,2687802.9018155686,1246243.8188903281
882,3585,39476.000000000000000,1,"0",0,"0",0,Oetlisbergstrasse,1,0,,40198.000000000000000,,,,,,,,,,,,,,,2687595.9565331051,1245934.9007606350
901,4342,19744.000000000000000,1,"0",0,"0",0,Kantonsschulstrasse,0,0,,16813.000000000000000,,,,,,,,,,,,,,,2683882.3478995636,1247383.0049885721
909,4368,16122.000000000000000,1,"0",0,"0",1,Zürichbergstrasse,1,1,,12789.000000000000000,,,,,,,,,,,,,,,2686250.2018789337,1249143.1286071232
922,4785,3617.000000000000000,1,"0",0,"0",0,Degenriedstrasse,1,0,,3641.000000000000000,,,,,,,,,,,,,,,2685870.0413684789,1247380.2982984781
949,4920,33322.000000000000000,1,"0",0,"0",1,Waldweg,5,1,,29095.000000000000000,,,,,,,,,,,,,,,2685994.5414672541,1247711.3647509890
955,4937,30233.000000000000000,1,"0",0,"0",1,Adlisbergstrasse,1,0,,31500.000000000000000,,,,,,,,,,,,,,,2686790.5519104614,1247511.1709715812
965,5389,79.000000000000000,1,"0",0,"0",0,Ottenweg,1,0,,110.000000000000000,,,,,,,,,,,,,,,2684223.1491612033,1246435.5127550086
1003,5838,23088.000000000000000,1,"0",0,"0",1,Tobelhofstrasse,0,0,,21820.000000000000000,,,,,,,,,,,,,,,2686052.0925669782,1248347.5595219096
1034,5896,3984.000000000000000,1,"0",0,"0",1,Parkplatz,0,0,,6260.000000000000000,,,,,,,,,,,,,,,2685786.6931197271,1248653.7014109865
1039,5902,10937.000000000000000,1,"0",0,"0",1,Parkplatz,0,0,,8691.000000000000000,,,,,,,,,,,,,,,2685974.8732051207,1248715.5130474372
